Question,Generated Answer,Ground Truth,Faithfulness,Precision,Recall,Relevancy
What happened to big landlords and warrior chiefs by the seventh century?,"According to the context, by the seventh century, big landlords and warrior chiefs lost power or relevance. This is implied by the fact that nobility, the crown, and the Orthodox Church owned large properties, and powerful men often rented out their land instead of cultivating it themselves. Additionally, many tribal groups settled down and began cultivating their fields in one place year after year, which suggests a shift away from traditional warrior-chief systems.","By the seventh century, some forest-dwellers started tilling the land and became peasants. New peasant groups were influenced by chieftains, priests, monasteries and temples. Some people within the clan acquired more power than others, some became chiefs and others followers.",0.9,0.8,0.6,1
How did landlords gain independence from their overlords?,"According to the context, landlords (zamindars) gained independence from their overlords with the introduction of the Permanent Settlement by Charles Cornwallis in 1806. This settlement allowed zamindars to collect rent from tenants without having to improve the land themselves. They could focus on collecting revenue without investing in the land, making them less dependent on their previous overlords.","With the Permanent Settlement introduced by Charles Cornwallis in 1806, zamindars gained independence from their overlords. They could collect rent from tenants without improving the land, focusing solely on revenue collection while reducing dependence on former rulers.",0.5,0.5,0.6,0.7
Which dynasty overthrew the Chalukyas in the Deccan?,"According to the context, the Rashtrakutas overthrew the Chalukyas in the Deccan. Specifically, Dantidurga, a Rashtrakuta chief, overthrew his Chalukya overlord and performed the ritual of ""golden womb"" in the mid-eighth century.",The Rashtrakutas overthrew the Chalukyas in the Deccan.,1,1,1,1
What ritual did Dantidurga perform to establish his legitimacy?,"According to the context, Dantidurga performed a ritual called ""Homa"" (literally, the golden womb) to establish his legitimacy. This ritual was performed with the help of Brahmanas and was thought to lead to the establishment of a new dynasty, not one by birth.","Dantidurga performed a ritual called Hiranya-garbha (literally, the golden womb) to establish his legitimacy.",1,1,1,1
Which Brahmana rulers gave up their traditional professions to become kings?,"According to the context, Brahmana rulers who gave up their traditional professions to become kings include:

1. Kadamba Mayurasharman - a Brahmana who took to arms and successfully established a kingdom in Karnataka.
2. Gurjara-Pratihara Harichandra - another Brahmana who gave up his traditional profession and took to arms, establishing a kingdom in Rajasthan.

These individuals abandoned their traditional occupations as Brahmanas to pursue military careers and become kings.",The Kadamba Mayurasharman and the Gurjara-Pratihara Harichandra were Brahmana rulers who gave up their traditional professions to become kings.,0.5,0.5,0.6,0.7
What were some of the high-sounding titles adopted by new kings?,"According to the context, some high-sounding titles adopted by new kings include ""the great lord of a 'circle' or region"" (), which was claimed by the Rashtrakutas in the Deccan.","The context mentions that new kings declared themselves to be *mahasamanta, mahamandaleshvara* (the great lord of a “circle” or region).",1,1,1,1
How did kings share power with their subordinates?,"According to the context, kings shared power with their subordinates by:

* Acknowledging them as their subordinates or vassals
* Expecting them to bring gifts, be present at courts, and provide military support
* Granting them titles like ""village chief"" (peasant serving three kings) or ""chief"", indicating respect and entrusting them with administrative responsibilities under the supervision of the central government.","Kings shared power with their subordinates by acknowledging big landlords or warrior chiefs in different regions. These subordinates were expected to bring gifts, be present at court, and provide military support. As subordinates gained power and wealth, they could declare themselves *mahasamandata* and assert independence from their overlords.",0.9,0.8,0.9,1
Who were the main tax-paying groups in the kingdoms?,"According to the context, the main tax-paying groups in the kingdoms were:

1. Peasants: who were often persuaded or compelled to pay taxes claimed as ""rent"" due to a lord who asserted he owned the land.
2. Cattle-keepers: who paid taxes.
3. Artisans: who paid taxes.
4. Traders: who paid taxes, including an alms tax (zakat) under the Delhi Sultans and Mughals.

Note that Muslim traders were also obliged to pay the alms tax (zakat).","The main tax-paying groups in the kingdoms were peasants, cattle-keepers, artisans, and traders.

The context mentions land revenue and forced labor as types of taxes. Whether these specific types are collected today is not stated.",0.8,0.7,0.8,0.8
What was the most frequently mentioned tax in Chola inscriptions?,"According to the context, the most frequently mentioned tax in Chola inscriptions is ""vetti"", which was taken in the form of forced labor. The second most frequently mentioned tax is ""kadamai"", or land revenue.","According to the Chola inscriptions, the most frequently mentioned tax was vetti, taken as forced labour, and kadamai, or land revenue.",1,1,1,1
How were functionaries for revenue collection selected?,"According to the context, functionaries for revenue collection were generally recruited from influential families, and positions were often hereditary. This was true about the army as well, with close relatives of the king holding these positions.","Functionaries for revenue collection were generally recruited from influential families, and positions were often hereditary. In many cases, close relatives of the king held these positions.",1,1,1,1
What is a prashasti?,"According to the provided context, a prashasti refers to ""Many rulers described their achievements in prashastis"". It appears to be a type of inscription or document that records a ruler's achievements, with examples mentioned including those of Nagabhata and Samudragupta.","According to the text, prashastis are descriptions of the achievements of rulers.",1,1,1,1
Why did seasonal industries prefer hand labour?,"Seasonal industries preferred hand labour because they needed more workers to meet their peak demand during certain times of the year. For example, gas works and breweries were busier during cold months, while bookbinders and printers needed extra hands before Christmas. This fluctuation in production required a flexible workforce that could be hired seasonally, making hand labour a more suitable option for these industries.","In seasonal industries, industrialists preferred hand labour because production fluctuated with the season, and they employed workers only for the season.",0.5,0.5,0.6,0.7
What kind of claims did rulers make in their prashastis?,"According to the context, rulers made claims in their prashastis about their achievements, such as:

* The exploits of Nagabhata, a Pratihara king, including victories over other kingdoms and princes.
* Establishment and construction of temples.

These claims were likely made to depict the ruler as a valiant and victorious warrior, which was how they wanted to be perceived.","Rulers made claims of being valiant, victorious warriors in their prashastis. The prashasti of Nagabhata, a Pratihara king, claims he won victories over various rulers and regions.",0.5,0.5,0.6,0.7
How were land grants recorded?,"According to the context, land grants were recorded by writing names of eligible members on small tickets of palm leaf and putting them into an earthenware pot. A young boy would then take out the tickets one by one for each committee. This method was used to organize committees for various purposes, such as irrigation works, gardens, temples, etc.","Land grants were recorded in detail in inscriptions, often on the stone walls of temples.",0.8,0.6,0.6,1
What was the purpose of giving land grants to Brahmanas?,"According to the context, the purpose of giving land grants to Brahmanas was to reward them.",The purpose of giving land grants to Brahmanas was to reward them.,1,1,1,1
What was the “tripartite struggle” about?,"According to the context, the ""tripartite struggle"" refers to a conflict between three parties: Gurjara-Pratiharas, Rashtrakutas, and Palas.","According to the provided text, the parties involved in the ""tripartite struggle"" were the Gurjara-Pratiharas, the Rashtrakutas, and the Palas. The context does not explicitly state what the struggle was *about*.",1,1,1,1
Which three dynasties fought for control over Kanauj?,"Based on the given context, the three dynasties that fought for control over Kanauj were:

1. Chahamanas (Chauhans)
2. Chalukyas of Gujarat
3. Gahadavalas of western Uttar Pradesh",The provided context does not explicitly state which three dynasties fought for control over Kanauj.,1,1,0,1
Why did Mahmud of Ghazni raid Indian temples?,"According to the context, Mahmud of Ghazni raided Indian temples because he had a religious motive. He targeted wealthy temples, including that of Somnath in Gujarat, and carried away much of their wealth to create a splendid capital city at Ghazni.","Mahmud of Ghazni raided Indian temples, including the Somnath temple, because they were wealthy. He used the wealth he plundered to create a splendid capital city at Ghazni. He also did it with a religious motive.",1,1,1,1
Which Chahamana ruler defeated Muhammad Ghori in 1191?,"According to the context, Prithviraja III (1168-1192), a Chahamana ruler, defeated Muhammad Ghori in 1191.",Prithviraja III defeated Muhammad Ghori in 1191.,1,1,1,1
What happened in the battle between Prithviraja III and Muhammad Ghori in 1192?,"According to the context, Prithviraja III of the Chahamana dynasty lost a battle against Muhammad Ghori in 1192, a year after having defeated him in 1191.","In 1192, Prithviraja III lost to Muhammad Ghori.",1,1,1,1
Which dynasty held power in the Kaveri delta before the Cholas?,"According to the context, the Muttaraiyar held power in the Kaveri delta before the Cholas.",The Muttaraiyar held power in the Kaveri delta before the Cholas.,1,1,1,1
Who founded the Chola kingdom?,"According to the context, Vijayalaya, a chief of the Cholas from Uraiyur, captured the Kaveri delta from the Muttaraiyar in the middle of the ninth century and founded the Chola kingdom.",Vijayalaya founded the Chola kingdom.,1,1,1,1
What temple did Vijayalaya build in Thanjavur?,"According to the context, Vijayalaya did not build a temple in Thanjavur. The temples mentioned as being built in Thanjavur are those of Rajaraja and Rajendra, which were built by them and feature goddess Nishumbhasudini. Therefore, the answer is that Vijayalaya did not build any temple in Thanjavur.",Vijayalaya built a temple for goddess Nishumbhasudini in Thanjavur.,1,1,1,1
Which Chola ruler expanded the kingdom the most?,"According to the context, Rajaraja I is considered the most powerful Chola ruler who expanded the kingdom the most. He reorganized the administration of the empire and continued his father's expeditions.","Rajaraja I is considered the most powerful Chola ruler. Rajaraja's son, Rajendra I, continued his policies, implying he also expanded the kingdom. However, the text does not explicitly state who expanded the kingdom the most.",1,1,0.8,1
What led to the rise of factories in India?,"According to the context, the rise of factories in India was led by European Agencies such as Bird Heiglers & Co., Andrew Yule, and Jardine Skinner & Co. These agencies mobilized capital, set up joint-stock companies, and managed them, with Indian financiers providing the capital while European agencies made all investment and business decisions.","The rise of factories in India was driven by the following factors:

*   **Demand for workers increased with the expansion of factories.** The number of factory workers grew significantly between 1901 and 1946.
*   **Peasants and artisans seeking work.** People from surrounding districts, unable to find work in villages, migrated to industrial centers.
*   **Mobilization of capital and establishment of companies:** European Agencies like Bird Heiglers & Co. set up joint-stock companies.",0.5,0.5,0.6,0.7
How did Chola temples become centers of economic life?,"According to the context, Chola temples became centers of economic life because they:

* Grew settlements around them, which were centers of craft production
* Were endowed with land by rulers and others, and the produce of this land went into maintaining temple specialists
* Served as a hub for various craftsmen, such as bronze image makers

These factors made temples not only places of worship but also centers of economic, social, and cultural life.","Chola temples became centers of economic life because they were endowed with land, and the produce from this land supported the specialists who worked at the temple. This included priests, garland makers, cooks, sweepers, musicians, and dancers, who often lived near the temple, making it a nucleus of settlement and craft production.",0.5,0.5,0.6,0.7
What type of images were created using Chola bronze sculpture?,"Based on the context, Chola bronze sculpture was used to create images of devotees. Additionally, sometimes images were made of devotees as well.","Chola bronze sculpture was used to create images, sometimes of devotees.",1,1,1,1
Why was irrigation important for Chola agriculture?,"According to the context, irrigation was important for Chola agriculture because it provided the necessary moisture for crop cultivation, particularly rice. The document states that ""water from the channels also provides the necessary moisture for agriculture, particularly the cultivation of rice.""","Irrigation was important for Chola agriculture because it was necessary to artificially water crops. Methods included digging wells and constructing huge tanks to collect rainwater. Additionally, canals were constructed for irrigation.",1,1,0.4,1
What were some methods of irrigation used by the Cholas?,"According to the provided context, some methods of irrigation used by the Cholas were:

* Wells dug in some areas
* Huge tanks constructed to collect rainwater in other places

These methods were used to carry out agriculture and cultivate crops.","Based on the provided text, the Cholas used the following methods of irrigation:

*   **Channels:** Water from the Kaveri river's small channels provided moisture for agriculture.
*   **Wells:** Wells were dug in some areas.
*   **Tanks:** Huge tanks were constructed to collect rainwater.
*   **Canals:** Canals were constructed for irrigation.",1,1,0.5,1
What was the role of village councils in Chola administration?,"According to the context, village councils played a role in dispensing justice and collecting taxes. They were also involved in deciding how water was shared for irrigation purposes. Additionally, rich peasants exercised control over the affairs of these villages under the supervision of the central Chola government.",The village council performed several administrative functions including dispensing justice and collecting taxes.,1,1,1,1
What was a sabha in Chola administration?,"A sabha in Chola administration refers to a type of assembly or council. According to the Uttaramerur inscription, members of a sabha should be landowners who meet certain criteria such as being between 35 and 70 years old, having knowledge of the Vedas, and being well-versed in administrative matters and honest.","According to the provided text, a Sabha in Chola administration was a village council that performed several administrative functions including dispensing justice and collecting taxes.",1,1,1,1
How were members of the sabha selected?,"According to the Uttaramerur inscription, members of a sabha were selected based on the following criteria:

* Owners of land from which land revenue is collected
* Having their own homes
* Between 35 and 70 years of age
* Knowledge of the Vedas
* Well-versed in administrative matters and honest

Additionally, anyone who has been a member of any committee in the last three years cannot become a member of another committee, and anyone who has not submitted his accounts and those of his relatives cannot contest the elections.","Members of the sabha were selected based on the following criteria: they should be owners of land from which land revenue is collected, have their own homes, be between 35 and 70 years of age, have knowledge of the Vedas, be well-versed in administrative matters and honest. Also, anyone who has been a member of any committee in the last three years, he cannot become a member of another committee. Anyone who has not submitted his accounts, and those of his relatives, cannot contest the elections.",0.5,0.5,0.6,0.7
What were some types of land mentioned in Chola inscriptions?,"According to the Chola inscriptions mentioned in the context, some types of land are:

1. Vellanvagai: Land of non-Brahmana peasant proprietors
2. Brahmadeya: Land gifted to Brahmanas
3. Shalabhoga: Land for the maintenance of a school
4. Devadana/Tirunamattukkani: Land gifted to temples
5. Pallichchhandam: Land donated to Jaina institutions

These categories are mentioned in the context as types of land recorded in Chola inscriptions.","According to Chola inscriptions, some types of land included:

*   Vellanvagai: land of non-Brahmana peasant proprietors
*   Brahmadeya: land gifted to Brahmanas
*   Shalabhoga: land for the maintenance of a school
*   Devadana, tirunamattukkani: land gifted to temples
*   Pallichchhandam: land donated to Jaina institutions",1,1,1,1
What is brahmadeya land?,"According to the context, Brahmadeya refers to ""land gifted to Brahmanas"".",Brahmadeya is land gifted to Brahmanas.,1,1,1,1
What was the role of trader associations in Chola towns?,"According to the context, trader associations in Chola towns played a role in maintaining control over production, regulating competition and prices, and restricting the entry of new people into the trade. These associations were known as urban crafts and trade guilds that trained craftspeople and maintained control over specific products, making it difficult for new merchants to set up business in towns.","In Chola towns, trader associations controlled production, regulated competition and prices, and restricted new entrants. Known as urban crafts and trade guilds, they trained craftspeople and maintained control over specific products, limiting opportunities for new merchants.",1,1,1,1
Who wrote the history of Kashmir’s rulers?,"According to the context, Kalhana wrote the history of Kashmir's rulers.",Kalhana wrote the history of Kashmir's rulers.,1,1,1,1
How did Kalhana’s approach to history differ from prashastis?,"Based on the provided context, Kalhana's approach to history differed from prashastis in that he was often critical about rulers and their policies, whereas prashastis are typically hagiographic accounts of a ruler's achievements.","Kalhana's approach to history differed from prashastis as he critically analyzed rulers and their policies, whereas prashastis were typically praise-filled accounts highlighting a ruler's achievements.",1,0.9,1,1
What does the Periyapuranam tell us about village life?,"Based on the provided context, the Periyapuranam tells us about village life by describing a small hamlet of Pulaiyas (a social group considered ""outcastes"" by Brahmanas and Vellalas) in Adanur. The passage describes the huts, inhabitants, and surroundings of this village, giving us an idea of rural life in ancient Tamil society.","According to the excerpt from the Periyapuranam, village life included small hamlets of Pulaiyas with huts, agrarian laborers engaged in menial occupations, children playing with puppies, and women putting babies to sleep under trees.",1,1,1,1
What occupations did Pulaiyar people engage in?,"According to the context, Pulaiyar people engaged in menial occupations such as agrarian labor and husking paddy.","Based on the provided context, Pulaiyar people engaged in the following occupations:

*   Agrarian laborers
*   Menial occupations
*   Husking paddy",1,1,1,1
How were temple inscriptions different from local village records?,"According to the context, temple inscriptions were different from local village records in that they recorded detailed information about Brahmana settlements and their administrative organizations, including committees for irrigation works, gardens, and temples. Local village records, on the other hand, are not explicitly mentioned as containing similar information.","Temple inscriptions, often found on the stone walls of temples, were detailed records created by the assemblies (sabha) of prominent Brahmana landholders who managed Brahmana settlements. These inscriptions documented administrative matters. The provided context does not directly describe local village records.",1,1,1,1
Which dynasty ruled Delhi before the Chauhans?,"According to the context, the Tomaras ruled Delhi before the Chauhans.",The Tomaras ruled Delhi before the Chauhans.,1,1,1,1
When did the Chauhans defeat the Tomaras?,The Chauhans defeated the Tomaras in 1191.,In 1191.,1,1,1,1
How did Delhi become an important commercial center?,"According to the context, Delhi became an important commercial center under the Tomaras and Chauhans in the 12th century. Many rich temples were built here, and coins minted in Delhi had a wide circulation.","Under the Tomaras and Chauhans, Delhi became an important commercial center. Many rich Jaina merchants lived in the city and constructed several temples. Coins minted here, called Delhiwal, had a wide circulation.",1,1,1,1
Which Indian industry expanded during British rule?,"According to the context, the Indian industry that expanded during British rule is textiles.","The provided context indicates that some Indian businessmen involved in the China trade, such as Dwarkanath Tagore, later developed ""industrial enterprises in India."" It also mentions Parsis like Dinshaw Petit and Jamsetjee Nusserwanjee Tata who ""built huge industrial empires in India."" Therefore, the **Indian industry** that expanded during British rule was the emerging **industrial sector**, particularly among those who initially profited from trade.",1,0.7,0.8,0.9
Which dynasty founded the Delhi Sultanate?,"According to the context, the Chauhans dynasty founded the Delhi Sultanate.",EARLY TURKISH RULERS founded the Delhi Sultanate.,0,0.3,1,1
Who was the first ruler of the Delhi Sultanate?,"According to Table 1, Qutbuddin Aybak was the first ruler of the Delhi Sultanate, ruling from 1206 to 1210.",Qutbuddin Aybak,1,1,1,1
Name any two dynasties that ruled Delhi after the Khaljis.,"According to the given context, two dynasties that ruled Delhi after the Khaljis are:

1. Tughluq Dynasty
2. Sayyid Dynasty",The two dynasties that ruled Delhi after the Khaljis were the Tughluq Dynasty and the Sayyid Dynasty.,1,1,1,1
What was the official language of administration under the Delhi Sultans?,"According to the context, the official language of administration under the Delhi Sultans was Persian.",It was Persian.,1,1,1,1
Why did Indian textiles face competition from Manchester cloth?,"Indian textiles faced competition from Manchester cloth because the goods from Manchester were cheap and durable, making it impossible for Indian manufactures to compete. This led to a decline in textile exports from India, with piece-goods accounting for 3% of India's exports by 1850-51, down from 33% in 1811-12.","Indian textiles faced competition from Manchester cloth because the goods from Manchester were cheap and durable, making it difficult for native manufacturers to compete. Manchester's imported cotton goods were produced by machines at lower costs, making them so cheap that weavers could not easily compete with them.",1,1,1,1
What was the role of historians in the Sultanate courts?,"According to the context, historians in Sultanate courts played a role as learned men: secretaries, administrators, poets and courtiers. They both recounted events and advised rulers on governance, emphasizing the importance of just rule. Their writings often aimed to persuade Sultans to preserve an ""ideal"" social order based on birthright and gender distinctions.","The authors of *tawarikh* (histories) in the Sultanate courts were learned men: secretaries, administrators, poets, and courtiers. They recounted events and advised rulers on governance, emphasizing the importance of just rule. They often wrote for Sultans in the hope of rich rewards and advised rulers on the need to preserve an ""ideal"" social order based on birthright and gender distinctions.",1,1,1,1
What did Fakhr-i Mudabbir say about the relationship between the king and his subjects?,"Based on the context, Fakhr-i Mudabbir said that a king cannot survive without soldiers. Soldiers cannot live without salaries. Salaries come from revenue collected from peasants. But peasants can pay revenue only when they are prosperous and happy. This happens when the king promotes justice and honest governance. Therefore, according to Fakhr-i Mudabbir, the relationship between the king and his subjects is about promoting justice and honesty for the prosperity of the peasants, which in turn provides revenue and salaries for the soldiers.","According to Fakhr-i Mudabbir, a king cannot survive without soldiers, soldiers need salaries, salaries come from peasant revenue, and peasants can only pay revenue when they are prosperous and happy, which happens when the king promotes justice and honest governance.",0.5,0.5,0.6,0.7
Why did soldiers depend on the revenue collected from peasants?,"Based on the context, soldiers depended on the revenue collected from peasants because the positions in the army were often hereditary and held by close relatives of the king. The functionaries for collecting revenue were generally recruited from influential families, and their positions were often hereditary.","Soldiers depended on the revenue collected from peasants because this revenue was used to finance the establishment, construct temples, and acquire wealth in the form of plunder, land, and trade routes. Mansabdars, who had military responsibilities, received their salaries as revenue assignments.",0.6,0.4,0.6,0.5
"How could peasants pay taxes, according to the Circle of Justice?","According to the Circle of Justice, peasants paid taxes through local headmen or zamindars. These intermediaries collected revenue on behalf of the Mughal rulers.","According to the provided text, peasants paid taxes through rural elites, such as the headman or the local chieftain, to the Mughal rulers.
The text mentions taxes like ""taille"" and indirect taxes on items like salt and tobacco in the context of the third estate, but it is unclear if such taxes are collected today from the provided context.",1,1,1,1
What was the birthright system in medieval governance?,"Based on the context, the birthright system in medieval governance refers to privileges claimed on account of birth. For example, people believed nobles inherited their rights to govern because they were born in certain families. This suggests that social status and position were determined by one's family lineage or birth.","According to the provided text, in the context of medieval governance, birthright was the system where privileges were claimed on account of birth. People believed nobles inherited their rights to govern because they were born into certain families. Some authors of histories advised rulers to preserve a social order based on birthright.",1,1,1,1
What were gender distinctions used for in society?,"According to the context, gender distinctions were used to justify the division of labor and responsibilities between men and women. Chaumette's argument was that nature had assigned domestic duties to women, such as nurturing babies, while men were meant for activities like hunting, agriculture, and politics. This justification was used to maintain the social status quo and restrict women's participation in public life, including political rights.","Based on the provided text, gender distinctions were used to:

*   **Assign domestic duties to women and political duties to men.** Chaumette argues that nature entrusted household duties and motherhood to women, while men were assigned hunting, agriculture, and political duties.
*   **Exclude women from political rights.** The right to vote was granted exclusively to property-owning men, excluding all women.
*   **Reduce women to a minor status.** The Napoleonic Code reduced women to the status of a minor, subject to the authority of fathers and husbands.",0.5,0.5,0.6,0.7
Who was the first woman Sultan of Delhi?,"According to the context, Raziyya, Sultan Iltutmish's daughter, became the first woman Sultan of Delhi in 1236.",Raziyya was the first woman Sultan of Delhi.,1,1,1,1
Why did Minhaj-us-Siraj oppose Raziyya’s rule?,"According to Minhaj-us-Siraj, Raziyya's rule went against God's ideal social order, where women were supposed to be subordinate to men. He questioned how she could have gained power despite her excellent qualities since her account did not fit under the category of men.

I think it was difficult for a woman to be a ruler because Minhaj-us-Siraj explicitly stated that Raziyya's rule went against God's ideal social order, implying that women were not meant to hold power.","Minhaj-us-Siraj opposed Raziyya's rule because he believed it violated the divinely ordained social order where women were subordinate to men. He questioned how she could benefit from her excellent qualities since she was not a man in ""the register of God’s creation.""

Based on the context, it was difficult for a woman to be a ruler because of prevailing societal beliefs about the proper roles of men and women, as reflected in Minhaj-us-Siraj's views, and because nobles were unhappy with her independent rule.",1,1,1,1
How did Raziyya describe herself on her inscriptions and coins?,"According to the context, Raziyya described herself on her inscriptions and coins as the daughter of Sultan Iltutmish.","On her inscriptions and coins, Raziyya mentioned that she was the daughter of Sultan Iltutmish.",1,1,1,1
Which queen of the Kakatiya dynasty disguised herself as a man?,"According to the document, Rudramadevi, the queen of the Kakatiya dynasty, disguised herself as a man on her inscriptions and coins.",Rudramadevi of the Kakatiya dynasty disguised herself as a man.,1,1,1,1
"What title was given to Didda, the queen of Kashmir?","According to the context, Didda, the queen of Kashmir, was given the title ""didid"" or ""elder sister"", which is an affectionate term given to her by her subjects.","The title given to Didda, the queen of Kashmir, comes from “didi” or “elder sister”.",1,1,1,1
What was the role of special slaves in the administration?,"Based on the provided context, special slaves played a role in administration as domestic servants who catered to their slave owners' needs. The quote by Arthur Young suggests that those who relied heavily on such slaves were putting themselves and their property at risk due to the treatment of these slaves.",Special slaves served as domestic servants attending to their owners' needs. Arthur Young's quote suggests that relying too much on such slaves posed risks to both owners and their property due to their treatment.,1,1,1,1
What was the Swadeshi movement?,"According to the context, the Swadeshi movement was a struggle that unfolded in all over India, with large public meetings and demonstrations organized and novel methods of mass protest developed. It was strongest in Bengal but had echoes elsewhere too.","Based on the context, the Swadeshi movement was a struggle that unfolded all over India, strongest in Bengal but with echoes elsewhere. It involved large public meetings, demonstrations, and novel methods of mass protest. In deltaic Andhra, it was known as the Vandemataram Movement.",1,1,0.8,1
Why did Sultans prefer slaves over their own sons for administration?,"According to the context, Sultans preferred slaves over their own sons for administration because a slave whom one has brought up and promoted must be looked after for it needs a whole lifetime and good luck. This implies that the Sultan could trust and rely on their loyal slaves, who were totally dependent upon them.","Sultans preferred slaves over their own sons for administration because slaves were totally dependent on their master, the Sultan, and therefore the Sultan could trust and rely upon them. Slaves and clients were loyal to their masters and patrons, but not to their heirs.",1,1,1,1
How did Muhammad Tughluq appoint people of humble birth to high positions?,"According to the context, Muhammad Tughluq appointed people of humble birth as clients to high positions. These individuals were often slaves or servants who were brought up and promoted by the Sultan. The Sultan's patronage was seen as a sign of his loss of political judgement and incapacity to rule, as criticized by Ziyauddin Barani.","Muhammad Tughluq appointed people of humble birth to high positions because the Khaljis and Tughluqs raised people of humble birth, often their clients, to high political positions and appointed them as generals and governors. Specific examples mentioned in the text include Aziz Khummar (a wine distiller), Firuz Hajjam (a barber), Manka Tabbakh (a cook), and two gardeners, Ladha and Pira, who were all appointed to high administrative posts.",1,1,0.7,1
Why did historian Ziyauddin Barani criticize Muhammad Tughluq’s appointments?,"According to the context, Ziyauddin Barani criticized Muhammad Tughluq's appointments because he considered them a sign of the Sultan's loss of political judgment and his incapacity to rule.","Ziyauddin Barani criticized Muhammad Tughluq’s appointments because he viewed them as a sign of the Sultan’s loss of political judgment and incapacity to rule, as these appointments involved elevating people of humble origins to high administrative posts.",1,1,1,1
What were the territories under military commanders called?,"According to the provided context, the territories under military commanders were called ""garrisons"".",Those territories were called garrisons.,1,1,1,1
What is globalization?,"Based on the provided context, globalization refers to an economic system that has emerged since the last 50 years or so.","Globalization, in the context of the provided text, refers to an economic system that has emerged over a long history involving trade, migration of people in search of work, and the movement of capital.",1,0.9,0.8,1
How were iqtas (territories) controlled?,"According to the context, iqtas (territories) were controlled by a system of governance outlined in the Arthaśhāstra, where a whole administrative structure was put in place from the village to the regional capital. This included the management and development of villages and local areas through institutions governed by states.","According to the context, iqtas (territories) were governed through a system described in the Arthaśhāstra, establishing an administrative structure from villages to regional capitals, managing local development through state-run institutions.",0.9,0.95,1,1
Name the three types of taxes collected by Alauddin Khalji.,"According to the provided context, the three types of taxes collected by Alauddin Khalji are:

1. On cultivation, amounting to about 50 per cent of the peasant's produce.
2. On cattle.
3. On houses.

These are the only tax types mentioned in the given context as being collected during Alauddin Khalji's reign.","The three types of taxes collected by Alauddin Khalji were: (1) on cultivation, (2) on cattle, and (3) on houses.",1,1,1,1
What percentage of produce was collected as land tax under the Delhi Sultans?,"According to the context, the percentage of produce collected as land tax under the Delhi Sultans is about 50%. This is mentioned in the sentence: ""on cultivation called and amounting to about 50 per cent of the peasant’s produce"".",About 50 per cent of the peasant’s produce was collected as land tax.,1,1,1,1
Who led the Mongol invasions of India?,"According to the provided context, it was the Mongols under Genghis Khan who led the Mongol invasions of India.",The Mongols under Genghis Khan invaded Transoxiana in north-east Iran in 1219 and the Delhi Sultanate faced their onslaught soon after.,1,1,1,1
How did Alauddin Khalji defend against Mongol attacks?,"According to the context, Alauddin Khalji defended against Mongol attacks by:

""Sometimes rulers like Alauddin Khalji and Muhammad Tughluq could force their control in these areas [forest regions] but only for a short duration.""

In other words, there is no specific information provided on how Alauddin Khalji defended against Mongol attacks.",Mongol attacks on the Delhi Sultanate increased during Alauddin Khalji's reign. This forced him to mobilise a large standing army in Delhi.,1,0.6,1,0
What was the role of garrisons in defending the Delhi Sultanate?,"According to the provided context, garrisons played a crucial role in defending the Delhi Sultanate by:

* Maintaining law and order in their assigned territories ().
* Leading military campaigns against invaders like the Mongols.

The context also mentions that these governors (), were appointed by the Sultanate and had to collect revenues from their assigned lands as salary.","Garrisons were vital to defending the Delhi Sultanate by maintaining law and order and leading military campaigns against invaders like the Mongols. The context also states that governors, appointed by the Sultanate, collected revenues from their territories as their salary.",0.5,0.5,0.6,0.7
Why did the Delhi Sultans struggle to control forested regions?,"According to the context, the Delhi Sultans struggled to control forested regions because local chieftains established their rule in these areas and were able to defend themselves effectively. The Sultanate forces could only occasionally penetrate these regions for a short duration, suggesting that the chieftains' fortifications and defense arrangements made it difficult for the Delhi Sultans to exert control over these areas.","The Delhi Sultans struggled to control forested regions because these areas were impenetrable to Sultanate forces, allowing local chieftains to establish their rule. Although rulers like Alauddin Khalji and Muhammad Tughluq could sometimes exert control, it was only for a short duration.",1,1,1,1
Which traveler described the defense systems of chieftains in India?,"According to the given context, Ibn Battuta, a fourteenth-century traveller from Morocco, described the defense systems of chieftains in India.",Ibn Battuta described the defense systems of chieftains in India.,1,1,1,1
Name two dynasties that ruled after the Tughluqs.,"Based on the context provided, two dynasties that ruled after the Tughluqs are:

1. Sayyid Dynasty
2. Lodi Dynasty",Sayyid Dynasty and Lodi Dynasty,1,1,1,1
What tax was collected from non-Muslims under the Delhi Sultans?,"According to the context, under the Delhi Sultans, Jizyah was collected from non-Muslims.",Jizyah was a tax collected from non-Muslims under the Delhi Sultans.,1,1,1,1
What was the role of Afghan and Rajput rulers after the Delhi Sultanate?,"According to the context, after the Delhi Sultanate, Afghan and Rajput rulers established their independent rule in various regions. They were able to do so because some areas were forested or mountainous, making it difficult for Sultanate forces to penetrate and maintain control. These local chieftains, including Afghans and Rajputs, set up their own fortifications and defense systems to protect their territories.","Following the Delhi Sultanate, Afghan and Rajput rulers emerged, establishing independent rule in regions like Bengal, Malwa, Gujarat, and Rajasthan. The context mentions the rise of these new ruling groups in the fifteenth and sixteenth centuries. The Mongol attacks on the Delhi Sultanate forced the rulers to mobilise a large standing army in Delhi which posed a huge administrative challenge.",1,0.9,0.9,1
